store_id,company_name,store_name,ubereats_id,doordash_id,grubhub_id,store_status,pipeline_stage,onboarding_status
99e31a73-edae-4b05-bd65-49906c8e07c4,Henny Penny, Henny Penny - Route 12 #54,2f999e66-a26d-5ac7-8d8b-d1d881d809d2,99e31a73-edae-4b05-bd65-49906c8e07c4,,Offboard,,
876f54ec-6f5a-4f36-b6bf-b90551dbfc07,Zara Inc, Rt 40 Carroll Fuel Mart,819fc52f-e25c-5081-8185-876b39bb3276,876f54ec-6f5a-4f36-b6bf-b90551dbfc07,,Offboard,,
e0a022b8-adcb-4412-b94f-fd3de754bd03,130 Food Marts,130 Food Marts,750bec64-bac2-565d-bf22-00ed2a183303,e0a022b8-adcb-4412-b94f-fd3de754bd03,,Offboard,,
e9646947-67e3-4b85-a881-5c7ac93a2852,Park & Gratiot Marathon,15 Mile & Groesbeck Mobil,29a55424-18b4-532d-b425-3dd567328e06,e9646947-67e3-4b85-a881-5c7ac93a2852,3371807,Offboard,,
fe62bbe4-cb61-4350-ae04-a189319a6a64,164 Quick Stop,164 Quick Stop,6d53908d-afb8-54c8-8424-9cea388dd8d8,fe62bbe4-cb61-4350-ae04-a189319a6a64,5547936,,Live,Launched
08347ae5-14f7-408f-a950-e08b6f117dcc,Lula Commerce,1P soft release,,,,,,
1eabc3b8-fd96-4871-a631-927c0a6af0e1,Park & Gratiot Marathon,23 & Baker BP,3f395880-6485-5339-b13c-de20a6ef432e,1eabc3b8-fd96-4871-a631-927c0a6af0e1,3371718,Offboard,,
fdfe3f56-a1e1-4755-9f4a-ec1d398a38d3,NJISA LLC (24 Express),24 Express,a785777f-27f0-52b4-981f-08262bd65d28,fdfe3f56-a1e1-4755-9f4a-ec1d398a38d3,3372327,Offboard,,
5aa55d59-fcb6-45c0-83d6-617e8d6e0854,Azan Petro,260 BP,a47c66a4-a99c-558d-87b4-a1cdcb51bd82,5aa55d59-fcb6-45c0-83d6-617e8d6e0854,,Offboard,Churned - Cancelled,Launched
eeaab926-7948-44e6-9796-a988076a46e1,Rocket,280 Test Push,,,,,,
361a0a6a-ff30-4cdf-bdc9-3112ee7f8fa5,Azan Petro,301 Travel Plaza,31a7ac13-9794-58cd-b3ba-9b1ccad8a5c6,361a0a6a-ff30-4cdf-bdc9-3112ee7f8fa5,,Offboard,Churned - Cancelled,Launched
5fa07d46-f9a0-442d-86b9-ec072b01c4b9,325 Patchogue Holbrook,325 Patchogue Holbrook,,,,Offboard,,
1a9a5cd9-067a-49e4-9f82-88c836fcd383,3N Convenience Inc,3N Convenience Inc - Shell,2df2eda1-91d4-5b27-a230-8cd0320bf8a3,1a9a5cd9-067a-49e4-9f82-88c836fcd383,5549384,,Live,Launched
a3e129e6-3a1c-4875-b527-7b7208b0c6e2,THE 3RD AVENUE SHELL-EXPRESS M,5 Points West Market Mobil,6726d99f-efff-59a8-a7b1-7705d4f3c90d,a3e129e6-3a1c-4875-b527-7b7208b0c6e2,,Offboard,,
1bdbe85f-ef07-4d22-a97f-d13c173993f4,,A&I Enterprises,b83f2361-64c5-5ee0-95ef-cc16c55c4899,1bdbe85f-ef07-4d22-a97f-d13c173993f4,,Offboard,,
d539701f-1fda-4733-915c-f163359e6896,Lula Commerce,A.ROSE CANDY,,,1234,,,
70a76cc0-a333-4968-9785-be7d666aeee1,Lula Commerce,AG's Convenience,,,,,,
1d5ea373-ae82-4fa6-a892-bc043f9ebfda,"Roettgers Company, Inc.",ARC Mequon,4fd2d250-e045-502b-a755-99917a10ad73,1d5ea373-ae82-4fa6-a892-bc043f9ebfda,7128936,,Live,Launched
379a44f2-c4bb-41cf-b40c-d9297a704d27,Lula Commerce,AWS 1,,,,Deleted,,
9e63ea5b-16f0-4738-842d-568f19864116,Lula Convenience Test,Abdul Wahabs Test Store 4,,,,,,
b609e84a-a9c5-490b-9f2c-ed1793375d00,Exxon Old Bridge,Aberdeen Shell,67dfd2d0-ba7e-57a4-bb81-27fb243ecc58,b609e84a-a9c5-490b-9f2c-ed1793375d00,8696912,,Live,Launched
68dc8ecf-4da5-481c-9c1d-0a5d0372337e,607 S Philadelphia Inc,Aberdeen Sunoco,f6cd6975-e6b6-534b-9562-8af5f28aa650,68dc8ecf-4da5-481c-9c1d-0a5d0372337e,5548192,Offboard,,
fdf274ab-a878-49d3-a041-c7d5f834d92f,Abhi and Father,Abhi and Father,0d9d106e-4baa-40ca-be2e-1a9630565e42,fdf274ab-a878-49d3-a041-c7d5f834d92f,2983293,,Live,Launched
6dd7da32-980a-4606-9169-c3eb93d283dc,Ace Liquor,Ace Liquor,b47aa4ca-0966-57cf-95be-23ee9c9cf2fa,6dd7da32-980a-4606-9169-c3eb93d283dc,,Offboard,,
e1e23ac9-2c87-4b1a-91f8-679dfe9d4815,Lula Commerce,Adit's Test Store,,,,,,
5202896b-9841-4423-ab07-f4bda84c7f72,Albaraka Market,Al Baraka Market,8281df9f-1a47-590a-9c8d-631cf0b06397,5202896b-9841-4423-ab07-f4bda84c7f72,3372328,Offboard,,
fea16caa-7ed9-4bee-a702-52a66795cd60,SMC Fuels - 6 stores,Aldan Sunoco,08715c8f-16c7-5ee5-a35f-d837abd35ef7,fea16caa-7ed9-4bee-a702-52a66795cd60,3371514,Offboard,,
6a86733f-0084-4212-af80-631a3f4c9e1f,Ali's Sunoco,Ali's Sunoco Home of Delicious Gyro and Chicago Corn Beef Reuben,,6a86733f-0084-4212-af80-631a3f4c9e1f,4008608,Offboard,,
bb07e43a-2ed7-4ef9-b5f2-778b591702c6,Rocket,Alta Convenience #1243,17783048-70d9-54e2-9f19-bd4dabc62b7f,bb07e43a-2ed7-4ef9-b5f2-778b591702c6,9920320,,Live,Launched
7197f5f6-b95a-4afc-891d-a7ba312d0b3d,Rocket,Alta Convenience #1249,0ea4ebff-4013-5035-b92e-acf80c1f2feb,7197f5f6-b95a-4afc-891d-a7ba312d0b3d,9911512,,Live,Launched
b52ae85a-95ff-4d80-92e7-2f442e05c83f,Rocket,Alta Convenience #1281,3eac417c-fa2c-51c2-8787-d7988afbc675,b52ae85a-95ff-4d80-92e7-2f442e05c83f,9913112,,Live,Launched
7bedb71f-ccda-4ddb-be15-8c362fc1eb34,Rocket,Alta Convenience #1340,93f09607-effe-5a0a-9d52-eab10c75f967,7bedb71f-ccda-4ddb-be15-8c362fc1eb34,9913120,,Live,Launched
96aaf268-ae9b-435c-b63f-3608b0350548,Rocket,Alta Convenience #3104,c122f019-7930-5ab2-b124-28649bb06851,96aaf268-ae9b-435c-b63f-3608b0350548,9911536,,Live,Launched
dba5be2f-52fb-4a87-b862-0a8238183ac6,Rocket,Alta Convenience #3106,d6c33015-7315-5103-94a4-3677de3de1eb,dba5be2f-52fb-4a87-b862-0a8238183ac6,9918616,,Live,Launched
5e1a37c2-86f9-40e6-9a1c-c84866dff4fc,Rocket,Alta Convenience #3107,4e8fb389-604a-59ab-8214-3b5512a6c0e6,5e1a37c2-86f9-40e6-9a1c-c84866dff4fc,9920368,,Live,Launched
4e807c31-74f7-4ff3-9327-8729036582f3,Rocket,Alta Convenience #3109,86fcdf15-a7d4-5dfd-af9b-2f57f40575f0,4e807c31-74f7-4ff3-9327-8729036582f3,9918632,,Live,Launched
e93ce007-ed96-4c77-b023-f70009c4ff55,Rocket,Alta Convenience #3113,d9f4817a-c20f-5a22-88f3-149fb882c63e,e93ce007-ed96-4c77-b023-f70009c4ff55,9921920,,Live,Launched
3b91f7c0-badc-458d-b6e7-27d3c27a1378,Rocket,Alta Convenience #3205,,,,,Ramping,In progress
