store_id,company_name,store_name,ubereats_status,doordash_status,grubhub_status,pipeline_stage,onboarding_status
be7ce242-82a4-4f0b-95c5-5a0a44ce7581,Atlantis Management Group,Atlantis #203,ID Present,ID Present,Missing,Pending Launch,In progress
e56ac461-95da-4e1c-8800-7731d258dd9c,Atlantis Management Group,Atlantis #204,ID Present,ID Present,,Pending Launch,In progress
7165eb71-d0a1-42ca-9262-9fe7ab3f4c19,Atlantis Management Group,Atlantis #206,ID Present,Missing,,Pending Launch,In progress
fe2df723-28c4-41f0-89ed-519c4b9bad79,Atlantis Management Group,Atlantis #209,ID Present,ID Present,,Pending Launch,In progress
646e1c09-cdaf-4de9-815e-9a3361487071,Atlantis Management Group,Atlantis (790 Echo Lake Road),ID Present,Missing,,Pending Launch,In progress
cbc3bb08-6052-410f-9416-d5dfae215c5e,Atlantis Management Group,Atlantis Cafe (1049 Grand Street),a75956b3-e79c-579c-9283-16578b53d173,Missing,,Pending Launch,In progress
5ba3a5b6-930b-4007-9f13-a8c906f9267a,Atlantis Management Group,Atlantis Cafe (1139-1153 Broad Street),49af5e1e-ae6d-5fe8-8255-fa93a819a00a,Missing,,Pending Launch,In progress
3cd7f18d-8964-4276-a3f8-1a2585d3d711,Atlantis Management Group,Atlantis Cafe (1610 Bushwick Ave),b7550b0f-84cf-590b-adf1-5625e99406ba,Missing,,Pending Launch,In progress
7afe31e7-ce9a-4192-8ab6-d43eb4422f2d,Atlantis Management Group,Atlantis Cafe (20 Kensico Rd),288ce819-c32c-5b33-acff-d6319981d1d8,Missing,,Pending Launch,In progress
afdca875-b726-47b6-a28b-a2bc08b52cb0,Atlantis Management Group,Atlantis Cafe (227 Shaker Rd),96e4d09e-ed91-5655-a66e-7b270d471c73,Missing,,Pending Launch,In progress
e73da463-bfcd-4e21-8d61-4bda32602afd,Atlantis Management Group,Atlantis Cafe (3232 Post Road),282d940e-6e34-5a80-ab1d-10aea2a2d32a,Missing,,Pending Launch,In progress
9dffa76b-e20d-4d8a-b859-560e58dfe66d,Atlantis Management Group,Atlantis Cafe (327 S Main Street),0018e549-0804-5535-8293-f97998d93555,Missing,,Pending Launch,In progress
a5c1fb5e-8731-431f-9815-d380b7be6042,Atlantis Management Group,Atlantis Cafe (38 West Broad Street),3f2dbbde-b4bf-5127-8d2c-40dce16a1f0c,Missing,,Pending Launch,In progress
8d5980e5-5989-4a57-8e85-ab522a31c45e,Atlantis Management Group,Atlantis Cafe (39 Monroe Street),45d54b80-7510-5002-b7f3-130402630459,Missing,,Pending Launch,In progress
d5f823f8-36c1-4957-824c-ef2b2bda0fbb,Atlantis Management Group,Atlantis Cafe (442 Gramatan Ave),af16ecff-4f4a-51d7-991f-f7a0eae2764a,Missing,,Pending Launch,In progress
94ecf2fc-bdcb-429f-91d3-3a58fea39b3a,Jacksons Food Stores,Aztec Grill/Redwood Market #277,ID Present,ID Present,ID Present,Pending Launch,In progress
453eac94-8c4d-4943-a63e-92a184bb9fb6,Jacksons Food Stores,Aztec Grill/Redwood Market #279,ID Present,ID Present,ID Present,Pending Launch,In progress
47a38b8c-4d63-4c89-981c-37c8c3cbc233,Jacksons Food Stores,Aztec Grill/Redwood Market #286,ID Present,ID Present,ID Present,Pending Launch,In progress
7d5a9796-5278-45e8-83e1-2e6a22412983,Jacksons Food Stores,Aztec Grill/Redwood Market #287,ID Present,ID Present,ID Present,Pending Launch,In progress
4711f840-d6a2-431d-ba1b-e785c0bda898,Corrigan Oil,Charley Biggs (9601 N. State Rd 67),ID Present,Missing,ID Present,Pending Launch,In progress
066135df-403f-476f-9a5f-1db4d91d2642,Chester's - Corrigan Oil,Chester's Chicken (15815 South Oakley),ID Present,ID Present,ID Present,Pending Launch,In progress
c7b83578-6f0f-4179-ab2e-1b3bc19899e4,Break Time,Chester's Chicken (2755 Militia Dr),ID Present,ID Present,ID Present,Pending Launch,In progress
1f856601-a697-4ee2-961d-245d3c82f13c,Randhawa Group Store,Circle  K- Santa Ana,4b467647-797f-52b0-83b0-de5dd202a9f4,Missing,,Pending Launch,In progress
c967fa90-6bd5-43c4-b596-f1093e54c37e,TJ1 Inc,Circle K #2655796,ID Present,ID Present,ID Present,Pending Launch,In progress
3c4769ae-77df-4a5a-bd32-001b5589061d,Circle K Gas Express,Circle K (111 Boulevard NE),ID Present,ID Present,ID Present,Pending Launch,In progress
856de737-9075-4a86-b8e5-9bbd95065a6b,Circle K Gas Express,Circle K (1120 Sigman Rd NE),ID Present,ID Present,,Pending Launch,In progress
a0c82416-5879-4ddf-beac-d852aa8a2709,Kwik Trip Oil,Circle K (1628 3rd St N),ID Present,ID Present,ID Present,Pending Launch,In progress
1008e662-0f3b-478c-848d-9d14a9febcae,Circle K Gas Express,Circle K (550 Cherokee Pkwy),ID Present,ID Present,ID Present,Pending Launch,In progress
9a6acfaf-4482-402e-906f-0f87123cffdd,Comrax LLC,Circle K - 2654250,ID Present,ID Present,ID Present,Pending Launch,In progress
33fcedc6-4fe0-4b4c-b074-adfa28be960c,Walport Enterprises Inc,Circle K - 2655789,ID Present,ID Present,ID Present,Pending Launch,In progress
51af2328-d8d6-4b61-a5f6-0cef596134e5,Extram LLC,Circle K - 2655992,ID Present,ID Present,,Pending Launch,In progress
43f4604c-7f4f-4d81-9069-ed78aa62c2c8,Veeram Inc,Circle K - 44462 East Florida Avenue,ID Present,ID Present,ID Present,Pending Launch,In progress
dca9fb33-a33c-4afc-86d3-d16099e6b583,Kapacity Fuel LLC,Circle K - 7305 Culebra,ID Present,ID Present,,Pending Launch,In progress
15ef06b5-a2bc-4a48-99e1-8647e85cedde,Mehar Thind Inc,Circle K - 9602 Flower St,1c1b645a-c144-5d8a-b653-731e03581216,Missing,,Pending Launch,In progress
a2ce88f7-f098-4189-ab76-508c44ad3a06,Circle K Franchise (Viraj Jhala),Circle K - Breakwater Marathon,ID Present,ID Present,ID Present,Pending Launch,In progress
a99dab15-77a0-4102-8d97-05e54dcd6bcd,Circle K (DW HWY Stop),Circle K - Dw Hwy Mobil,ID Present,ID Present,ID Present,Pending Launch,In progress
